CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
9 16 RAJENDER SINGH,,M 41 GEN SP,227 0,227,0.21
10 17 USHA,,F 29 GEN IND,195 0,195,0.18
7 18 BHARAT SINGH,,M 36 GEN LJP,93 0,93,0.09
,TOTAL:,107155 271,107426,71.56
Turn Out,,,,,
Constituency 69. Mahendragarh,,,TOTAL ELECTORS :,149580,
1 1 DAN SINGH,,M 53 GEN INC,42127 159,42286,37.77
4 2 RAM BILASH SHARMA,,M 61 GEN BJP,36725 108,36833,32.90
8 3 KULBIR SINGH,,M 45 GEN IND,14549 4,14553,13.00
3 4 RAMESH PALRI,,M 45 GEN INLD,9830 18,9848,8.80
2 5 BHAGIRATH SINGH,,M 57 GEN HJCBL,3764 0,3764,3.36
5 6 SUKESH DIWAN,,M 48 GEN BSP,1465 0,1465,1.31
11 7 SANJAY KUMAR S/O GAJ RAJ,,M 35 GEN IND,928 0,928,0.83
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
13 8 HANUMAN SINGH,,M 54 GEN IND,617 0,617,0.55
6 9 MAHENDER SINGH,,M 38 GEN SP,566 0,566,0.51
7 10 VINOD,,M 37 GEN SMBHP,378 0,378,0.34
9 11 BIRENDER,,M 39 GEN IND,252 0,252,0.23
10 12 SHASHI KANT KAUSHIK,,M 33 GEN IND,242 0,242,0.22
12 13 SANJAY KUMAR S/O RAMPAL,,M 42 GEN IND,220 0,220,0.20
,TOTAL:,111663 289,111952,74.84
Turn Out,,,,,
Constituency 70. Narnaul,,,TOTAL ELECTORS :,110141,
2 1 NARENDER SINGH,,M 46 GEN HJCBL,24850 161,25011,31.72
4 2 BHANA RAM,,M 72 GEN INLD,21589 30,21619,27.42
5 3 SANJAY YADAV,,M 39 GEN INC,13573 13,13586,17.23
1 4 KAILASH CHAND,,M 59 GEN BJP,6800 6,6806,8.63
14 5 SARLA,,F 52 GEN IND,3353 1,3354,4.25
16 6 SURENDER KUMAR,,M 58 GEN IND,2160 4,2164,2.74
11 7 KAILASH CHAND,,M 58 GEN IND,1623 3,1626,2.06
10 8 FAUJI KARAMVIR,,M 39 GEN IND,1255 1,1256,1.59
3 9 PURSHOTAM DASS,,M 64 GEN BSP,1207 2,1209,1.53
15 10 SUDHIR,,M 29 GEN IND,618 0,618,0.78
9 11 UMAKANT,,M 46 GEN IND,535 1,536,0.68
13 12 SATISH KUMAR,,M 42 SC IND,434 0,434,0.55
6 13 OM PRAKASH,,M 47 SC LJP,215 0,215,0.27
12 14 JAGDISH PARSHAD,,M 45 GEN IND,190 0,190,0.24
7 15 RAJENDER,,M 50 GEN RARS,160 0,160,0.20
8 16 ANIL,,M 27 GEN IND,66 0,66,0.08
,TOTAL:,78628 222,78850,71.59
Turn Out,,,,,
Constituency 71. Nangal chaudhry,,,TOTAL ELECTORS :,119990,
3 1 BAHADUR SINGH,,M 54 GEN INLD,32934 50,32984,38.01
5 2 RADHEY SHYAM,,M 64 GEN INC,21268 53,21321,24.57
4 3 MOOLA RAM,,M 46 GEN HJCBL,20901 17,20918,24.10
10 4 ABHIMANYU,,M 27 GEN IND,3119 0,3119,3.59
2 5 DAYA RAM,,M 49 GEN BJP,2854 3,2857,3.29
6 6 SHER SINGH,,M 53 GEN BSP,1607 0,1607,1.85
15 7 SATYA NARAIN,,M 60 GEN IND,1029 0,1029,1.19
13 8 BALDEV SINGH,,M 63 GEN IND,828 0,828,0.95
16 9 SANT LAL,,M 31 GEN IND,330 0,330,0.38
,,DETAILED RESULTS,,,
,,,VALID VOTES POLLED,,
,,,,,% VOTES
CAND SL.,,,,,,
CANDIDATE NAME,,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,,
8 10 DINESH KUMAR,,,M 31 GEN SP,318 0,318,0.37
1 11 JAI RAM,,,M 36 GEN NCP,289 3,292,0.34
14 12 RADHE SHYAM SHARMA,,,M 31 GEN IND,279 0,279,0.32
9 13 RAMROOP,,,M 27 GEN LJP,277 0,277,0.32
7 14 ISHWAR SINGH,,,M 28 GEN SMBHP,243 0,243,0.28
12 15 NIRANJAN LAL,,,M 53 GEN IND,195 0,195,0.22
17 16 SUMER SINGH,,,M 49 GEN IND,111 0,111,0.13
11 17 JASWANT,,,M 52 SC IND,71 0,71,0.08
,,TOTAL:,86653 126,86779,72.32
Turn Out,,,,,,
Constituency 72. Bawal,(SC),,,TOTAL ELECTORS :,165046,
3 1 RAMESHWAR DAYAL,,,M 50 SC INLD,58418 55,58473,53.26
4 2 SHAKUNTLA BHAGWARIA,,,F 66 SC INC,36390 82,36472,33.22
1 3 JAWAHAR LAL,,,M 35 SC BJP,10253 5,10258,9.34
2 4 ZILE RAM,,,M 56 SC BSP,1181 0,1181,1.08
5 5 SANJAY,,,M 35 SC HJCBL,980 0,980,0.89
9 6 SUNDER LAL,,,M 52 SC IND,858 1,859,0.78
6 7 JAGDISH,,,M 56 SC SP,801 0,801,0.73
7 8 MAHAVIR,,,M 32 SC SMBHP,438 0,438,0.40
8 9 ISHWAR SINGH,,,M 33 SC IND,319 0,319,0.29
,,TOTAL:,109638 143,109781,66.52
Turn Out,,,,,,
Constituency 73. Kosli,,,,TOTAL ELECTORS :,184860,
4 1 YADUVENDER SINGH,,,M 52 GEN INC,47704 192,47896,37.47
10 2 JAGDISH YADAV,,,M 54 GEN IND,44333 140,44473,34.79
5 3 SATISH KHOLA,,,M 38 GEN INLD,18846 16,18862,14.76
2 4 KAMALVEER SINGH,,,M 43 GEN BSP,4463 1,4464,3.49
1 5 ANIL RAO,,,M 50 GEN BJP,3707 6,3713,2.90
3 6 MOHIT,,,M 32 GEN HJCBL,2986 1,2987,2.34
13 7 COMRADE RAJENDER SINGH,,,M 50 GEN IND,953 1,954,0.75
12 8 NIHAL SINGH,,,M 86 GEN IND,936 0,936,0.73
6 9 SURESH,,,M 38 GEN NCP,732 1,733,0.57
7 10 RAMESH,,,M 36 GEN SP,693 0,693,0.54
14 11 SUNITA,,,F 35 GEN IND,601 1,602,0.47
8 12 SUBHASH SINGH,,,M 43 GEN SMBHP,509 1,510,0.40
9 13 KRISHAN SINGH,,,M 53 GEN IND,336 0,336,0.26
15 14 SUBHASH CHANDER,,,M 40 GEN IND,334 0,334,0.26
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
11 15 NARENDER YADAV,,M 29 GEN IND,325 0,325,0.25
,TOTAL:,127458 360,127818,69.14
Turn Out,,,,,
Constituency 74. Rewari,,,TOTAL ELECTORS :,165691,
1 1 AJAY SINGH S/O ABHEY,,M 52 GEN INC,48427 130,48557,40.35
SINGH,,,,,
15 2 SATISH S/O ROSHAN LAL,,M 37 GEN IND,35248 21,35269,29.31
3 3 RANDHIR SINGH KAPRIWAS,,M 63 GEN BJP,24374 22,24396,20.27
5 4 VIJAY SOMANY,,M 48 GEN BSP,6415 3,6418,5.33
2 5 ANIL KUMAR,,M 41 GEN INLD,3225 0,3225,2.68
4 6 RAJINDER SINGH,,M 59 GEN HJCBL,1164 0,1164,0.97
14 7 SATISH S/O JASWANT,,M 47 GEN IND,406 0,406,0.34
13 8 SATVIR,,M 58 GEN IND,211 0,211,0.18
11 9 VIJAY PAL,,M 47 GEN IND,134 0,134,0.11
10 10 RANDHIR SINGH,,M 53 GEN IND,121 0,121,0.10
KAPRIWAHAK,,,,,
6 11 RANVIR SINGH,,M 33 GEN RASAP,120 0,120,0.10
12 12 SATPAL,,M 50 GEN IND,112 0,112,0.09
7 13 AJAY SINGH YADAV S/O TEJ,,M 28 GEN IND,96 0,96,0.08
SINGH,,,,,
8 14 AJAY SINGH YADAV S/O,,M 33 GEN IND,52 0,52,0.04
SANTOSH KUMAR YADAV,,,,,
9 15 DHARAMBIR,,M 35 GEN IND,47 0,47,0.04
,TOTAL:,120152 176,120328,72.62
Turn Out,,,,,
Constituency 75. Pataudi,(SC),,TOTAL ELECTORS :,159063,
1 1 GANGA RAM,,M 57 SC INLD,49315 8,49323,51.45
3 2 BHUPINDER,,M 60 SC INC,24568 8,24576,25.64
15 3 RAMBIR SINGH,,M 59 SC IND,5790 0,5790,6.04
6 4 RESHAM SINGH,,M 61 SC BJP,4019 1,4020,4.19
17 5 SATYA PRAKASH,,M 42 SC IND,3996 0,3996,4.17
2 6 NAT RAM,,M 53 SC BSP,2952 0,2952,3.08
5 7 RAJESH KUMAR,,M 42 SC HJCBL,1225 1,1226,1.28
8 8 KIRPA RAM PUNIA,,M 73 SC RASJP,1178 1,1179,1.23
16 9 LAKHAN SINGH,,M 31 SC IND,800 0,800,0.83
14 10 BASTI RAM,,M 41 SC IND,698 0,698,0.73
4 11 RAJINDER SINGH,,M 47 SC NCP,337 0,337,0.35
7 12 OM PARKASH,,M 54 SC SMBHP,183 0,183,0.19
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
12 13 CHHATER SINGH,,M 77 SC IND,180 0,180,0.19
11 14 SAMAY SINGH,,M 48 SC LJP,175 0,175,0.18
13 15 PARTAP SINGH,,M 58 SC IND,156 0,156,0.16
10 16 PREM KUMAR,,M 39 SC JKNPP,140 0,140,0.15
9 17 DHARAM CHAND,,M 38 SC SP,131 0,131,0.14
,TOTAL:,95843 19,95862,60.27
Turn Out,,,,,
Constituency 76. Badshahpur,,,TOTAL ELECTORS :,226206,
2 1 DHARAM PAL,,M 66 GEN INC,50546 11,50557,34.59
10 2 RAKESH,,M 30 GEN IND,39170 2,39172,26.80
1 3 GOPI CHAND,,M 64 GEN INLD,25816 8,25824,17.67
5 4 MUKESH,,M 34 GEN BJP,15163 0,15163,10.38
8 5 BIR SINGH,,M 39 GEN IND,7148 0,7148,4.89
9 6 MAN SINGH,,M 51 GEN IND,2341 0,2341,1.60
6 7 SHIKSHA YADAV,,F 43 GEN BSP,1770 0,1770,1.21
3 8 BEG RAJ,,M 44 GEN HJCBL,1580 1,1581,1.08
14 9 SUBASH,,M 42 GEN IND,811 0,811,0.55
4 10 MAMAN,,M 51 GEN NCP,513 0,513,0.35
13 11 ROHTASH SINGH,,M 55 GEN IND,432 0,432,0.30
11 12 RAKESH BHARDWAJ,,M 41 GEN IND,341 0,341,0.23
7 13 DASHRATH SINGH,,M 33 GEN JKNPP,331 0,331,0.23
12 14 RAM KISHAN,,M 34 GEN IND,159 0,159,0.11
,TOTAL:,146121 22,146143,64.61
Turn Out,,,,,
Constituency 77. Gurgaon,,,TOTAL ELECTORS :,231340,
16 1 SUKHBEER,,M 44 GEN IND,41004 9,41013,32.74
3 2 DHARAMBIR,,M 77 GEN INC,38867 6,38873,31.03
1 3 UMESH AGGERWAL,,M 39 GEN BJP,23859 5,23864,19.05
12 4 R S RATHEE,,M 44 GEN IND,5949 2,5951,4.75
2 5 KANHIYA LAL,,M 46 GEN HJCBL,4673 1,4674,3.73
4 6 BHIM SINGH RATHEE,,M 38 GEN BSP,4419 1,4420,3.53
5 7 MANI RAM SHARMA,,M 51 GEN INLD,3088 1,3089,2.47
14 8 VIJAY KUMAR,,M 47 GEN IND,999 0,999,0.80
9 9 PYARE LAL KATARIA,,M 32 GEN IND,712 0,712,0.57
6 10 RAM AVTAR YADAV,,M 45 GEN RJD,683 2,685,0.55
10 11 BABU LAL,,M 58 GEN IND,315 0,315,0.25
11 12 RAVINDER SINGH,,M 40 GEN IND,251 0,251,0.20
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
15 13 G D SEHGAL,,M 68 GEN IND,144 0,144,0.11
13 14 RAMANAND,,M 51 GEN IND,108 0,108,0.09
7 15 JHABBAR SINGH,,M 48 GEN JKNPP,90 0,90,0.07
8 16 KUSHESHWAR BHAGAT,,M 38 GEN IND,87 0,87,0.07
,TOTAL:,125248 27,125275,54.15
Turn Out,,,,,
Constituency 78. Sohna,,,TOTAL ELECTORS :,153130,
3 1 DHARAMBIR,,M 54 GEN INC,20441 2,20443,17.93
1 2 ZAKIR HUSSAIN,,M 47 GEN BSP,19938 0,19938,17.49
15 3 SUKHBIR SINGH JAUNAPURIA,,M 51 GEN IND,18301 0,18301,16.05
4 4 ROHTASH KHATANA,,M 57 GEN HJCBL,13573 0,13573,11.91
9 5 JAVED HUSSAIN,,M 35 GEN IND,10785 0,10785,9.46
5 6 SAHEEDA,,M 44 GEN INLD,9329 0,9329,8.18
11 7 NIHAL SINGH,,M 52 GEN IND,7351 0,7351,6.45
2 8 TEJ PAL,,M 59 GEN BJP,5720 2,5722,5.02
13 9 MAHESH DAYMA,,M 41 GEN IND,5026 0,5026,4.41
14 10 RAMESH CHAND,,M 53 GEN IND,1121 0,1121,0.98
12 11 BHOOP SINGH RAGHAV,,M 58 GEN IND,835 0,835,0.73
16 12 SUBE SINGH,,M 37 GEN IND,674 0,674,0.59
7 13 RAM NIWAS TANWAR,,M 42 SC LJP,284 0,284,0.25
8 14 LALIT SHARMA,,M 33 GEN JKNPP,216 0,216,0.19
6 15 USHMAN,,M 27 GEN SP,209 0,209,0.18
10 16 DINESH KUMAR,,M 39 GEN IND,183 0,183,0.16
,TOTAL:,113986 4,113990,74.44
Turn Out,,,,,
Constituency 79. Nuh,,,TOTAL ELECTORS :,116128,
1 1 AFTAB AHMED,,M 43 GEN INC,33919 6,33925,39.09
4 2 SANJAY,,M 35 GEN BJP,17021 0,17021,19.61
12 3 HAMID HUSSAIN,,M 64 GEN IND,12779 0,12779,14.73
3 4 BADRUDDIN,,M 61 GEN INLD,10338 0,10338,11.91
2 5 JAHID,,M 35 GEN BSP,6843 0,6843,7.89
8 6 TAYAB HUSSAIN,,M 40 GEN IND,4562 0,4562,5.26
13 7 MOHD.HAROON,,M 30 GEN IND,470 0,470,0.54
5 8 SURENDER SINGH,,M 44 GEN HJCBL,286 0,286,0.33
11 9 SANJAY KUMAR,,M 40 GEN IND,192 0,192,0.22
6 10 MOHD.SALMAN,,M 40 GEN HASWP,134 0,134,0.15
9 11 DEVINAND SINGH,,M 32 GEN IND,109 0,109,0.13
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
AND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
per form 7,,,,,
10 12 BHARAT,,M 37 GEN IND,67 0,67,0.08
7 13 TAFAJUL,,M 36 GEN IND,55 0,55,0.06
,TOTAL:,86775 6,86781,74.73
Turn Out,,,,,
onstituency,80. Ferozepur Jhirka,,TOTAL ELECTORS :,130045,
3 1 NASEEM AHMED,,M 33 GEN INLD,42824 0,42824,46.15
4 2 ER.MAMMAN KHAN,,M 42 GEN INC,24630 0,24630,26.54
8 3 MOHD. IQBAL,,M 47 GEN IND,12448 0,12448,13.42
1 4 AMAN AHMED,,M 36 GEN HJCBL,5116 0,5116,5.51
5 5 DR.MAHENDER KUMAR,,M 43 GEN BJP,4909 0,4909,5.29
GARG,,,,,
2 6 GHANSHYAM DASS,,M 39 GEN BSP,1497 0,1497,1.61
9 7 MOHD. YUNUS,,M 44 GEN IND,719 0,719,0.77
7 8 MAMRAJ,,M 44 SC IND,357 0,357,0.38
6 9 BALWANT SINGH AGGARWAL,,M 59 GEN RLD,291 0,291,0.31
,TOTAL:,92791 0,92791,71.35
Turn Out,,,,,
onstituency,81. Punahana,,TOTAL ELECTORS :,111551,
4 1 MOHAMMED ILYAS,,M 55 GEN INLD,18864 1,18865,23.23
3 2 DAYAWATI,,F 44 GEN BSP,16177 0,16177,19.92
12 3 IQBAL,,M 45 GEN IND,11664 0,11664,14.36
1 4 AKHTAR HUSSAIN,,M 45 GEN INC,11564 0,11564,14.24
21 5 RAHISH KHAN,,M 42 GEN IND,9774 0,9774,12.03
17 6 MOHD. AIZAZ,,M 41 GEN IND,6665 0,6665,8.21
25 7 SAHAB KHAN,,M 48 GEN IND,2611 0,2611,3.21
2 8 TAYYUB,,M 39 GEN BJP,836 0,836,1.03
8 9 NASRU ALIAS KUTAR,,M 39 GEN BRAVP,766 0,766,0.94
5 10 SAFI MOHAMMAD,,M 55 GEN HJCBL,433 0,433,0.53
11 11 ATTAULLAH KHAN,,M 60 GEN IND,252 0,252,0.31
16 12 DAUD,,M 39 GEN IND,228 0,228,0.28
20 13 RAMAN,,M 38 GEN IND,155 0,155,0.19
14 14 ZAHID HUSSAIN,,M 36 GEN IND,140 0,140,0.17
13 15 CHAWLI,,F 58 GEN IND,138 0,138,0.17
22 16 SHEHNAJ,,F 32 GEN IND,129 0,129,0.16
6 17 ISRAIL,,M 26 GEN SMBHP,123 0,123,0.15
15 18 JUHARMAL,,M 63 GEN IND,118 0,118,0.15
18 19 MOHD. SARDAR KHAN,,M 69 GEN IND,106 0,106,0.13
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
23 20 SAMSUDDIN,,M 37 GEN IND,105 0,105,0.13
19 21 YAKUB KHAN,,M 65 GEN IND,103 0,103,0.13
24 22 SARTAJ KHAN,,M 52 GEN IND,88 0,88,0.11
7 23 KALLU KHAN,,M 57 GEN RASAP,84 0,84,0.10
9 24 FAKHRUDDIN,,M 38 GEN HASWP,53 0,53,0.07
10 25 AJIM,,M 38 GEN IND,48 0,48,0.06
,TOTAL:,81224 1,81225,72.81
Turn Out,,,,,
Constituency 82. Hathin,,,TOTAL ELECTORS :,148764,
10 1 JALEB KHAN,,M 69 GEN IND,33774 0,33774,29.59
1 2 HARSH KUMAR,,M 54 GEN INC,27300 1,27301,23.92
4 3 KEHAR SINGH,,M 36 GEN INLD,21578 0,21578,18.91
9 4 RAMJILAL,,M 67 GEN IND,15634 0,15634,13.70
3 5 NASIMA,,F 44 GEN BSP,5927 0,5927,5.19
11 6 AJMAT KHAN,,M 72 GEN IND,3296 0,3296,2.89
5 7 DR. SHAKTI SINGH RAWAT,,M 57 GEN HJCBL,2563 0,2563,2.25
8 8 INDRAJ,,M 44 GEN IND,1709 0,1709,1.50
12 9 SER MOHAMMAD @ SHERA,,M 39 GEN IND,683 0,683,0.60
2 10 TEKCHAND SOROT,,M 46 GEN BJP,602 0,602,0.53
13 11 TAYYUB HUSSAIN,,M 40 GEN IND,484 0,484,0.42
7 12 JAGDEV RAWAT,,M 69 GEN HASWP,304 0,304,0.27
6 13 MAHIPAL,,M 39 GEN AIRP,141 1,142,0.12
14 14 ASHOK KUMAR,,M 45 GEN IND,134 0,134,0.12
,TOTAL:,114129 2,114131,76.72
Turn Out,,,,,
Constituency 83. Hodal,(SC),,TOTAL ELECTORS :,124181,
2 1 JAGDISH NAYAR,,M 39 SC INLD,46509 6,46515,49.53
1 2 UDAY BHAN,,M 54 SC INC,43875 19,43894,46.74
3 3 TRILOK CHAND,,M 27 SC BSP,994 1,995,1.06
4 4 MAHAVEER SINGH,,M 41 SC BJP,560 0,560,0.60
14 5 HARI CHAND,,M 37 SC IND,509 0,509,0.54
6 6 GIRRAJ KISHOR,,M 60 SC RLD,362 0,362,0.39
13 7 DR. K .P SINGH,,M 51 SC IND,325 0,325,0.35
12 8 LIKHI RAM SOLANKI,,M 43 SC IND,324 0,324,0.34
10 9 KARAN DAGAR,,M 35 SC IND,123 0,123,0.13
7 10 BUDDHRAM NEHRA,,M 41 SC BSP(K),102 0,102,0.11
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
11 11 RAVINDER,,M 34 SC IND,75 0,75,0.08
5 12 MUKESH KUMAR BALMIKI,,M 50 SC HJCBL,69 0,69,0.07
9 13 ASHOK KUMAR,,M 50 SC IND,35 0,35,0.04
8 14 MANOHAR,,M 35 SC RND,33 0,33,0.04
,TOTAL:,93895 26,93921,75.63
Turn Out,,,,,
Constituency 84. Palwal,,,TOTAL ELECTORS :,154279,
5 1 SUBHASH CHOUDHARY,,M 58 GEN INLD,51709 3,51712,46.42
2 2 KARAN SINGH DALAL,,M 51 GEN INC,45040 0,45040,40.43
4 3 DHARAM CHAND,,M 55 GEN BSP,8161 0,8161,7.33
1 4 ANANGPAL BAINSLA,,M 50 SC BJP,3376 0,3376,3.03
3 5 DAL CHAND,,M 41 GEN HJCBL,759 0,759,0.68
14 6 PHOOL CHAND AGGARWAL,,M 69 GEN IND,692 0,692,0.62
13 7 TEJ RAM,,M 50 GEN IND,414 0,414,0.37
6 8 GHASSI RAM,,M 67 SC RS,319 0,319,0.29
12 9 TEEKA RAM HOODA,,M 33 GEN IND,259 0,259,0.23
11 10 DR. KSHETRA PAL SINGH,,M 51 SC IND,237 0,237,0.21
7 11 DHARAMVIR,,M 51 GEN HASWP,125 0,125,0.11
10 12 KARAM CHAND,,M 36 GEN IND,119 0,119,0.11
8 13 MANGE RAM SHARMA,,M 38 GEN RPI(A),108 0,108,0.10
9 14 ADARASH KUMAR,,M 44 GEN IND,73 0,73,0.07
,TOTAL:,111391 3,111394,72.20
Turn Out,,,,,
Constituency 85. Prithla,,,TOTAL ELECTORS :,135348,
4 1 RAGHUBIR SINGH,,M 51 GEN INC,34639 8,34647,34.67
1 2 TEK CHAND SHARMA,,M 50 GEN BSP,31491 1,31492,31.51
5 3 SASHI BALA TEWATIA,,F 37 GEN INLD,19382 0,19382,19.39
3 4 NAYAN PAL,,M 38 GEN BJP,11770 1,11771,11.78
2 5 NIRMALA PANCHAL,,F 45 GEN HJCBL,683 1,684,0.68
11 6 SATPAL,,M 39 GEN IND,670 0,670,0.67
7 7 VINOD,,M 28 GEN SP,394 0,394,0.39
10 8 RAJENDER,,M 39 GEN IND,294 0,294,0.29
6 9 RAJENDER SINGH,,M 37 GEN RLD,225 0,225,0.23
8 10 TEK CHAND,,M 52 GEN IND,211 1,212,0.21
9 11 PRAHLAD SINGH,,M 47 GEN IND,176 0,176,0.18
,TOTAL:,99935 12,99947,73.84
Turn Out,,,,,
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
Constituency,86. Faridabad Nit,,TOTAL ELECTORS :,129293,
14 1 PT. SHIV CHARAN LAL,,M 65 GEN IND,23461 0,23461,27.98
SHARMA,,,,,
1 2 AKAGAR CHAND CHAUDHRY,,M 68 GEN INC,15586 0,15586,18.59
13 3 NAGENDER SINGH BHADANA,,M 38 GEN IND,15459 1,15460,18.44
7 4 SHIV RAJ LOHIA,,M 43 GEN BSP,8074 0,8074,9.63
4 5 MAHENDER BHADANA,,M 58 GEN BJP,6955 1,6956,8.30
2 6 TEJPAL DAGAR,,M 34 GEN INLD,4011 0,4011,4.78
12 7 DHARAMBIR BHADHANA,,M 50 GEN IND,3492 0,3492,4.17
6 8 VED PRAKASH YADAV,,M 38 GEN RJD,2565 0,2565,3.06
10 9 LIYAKAT ALI,,M 47 GEN SP,2364 0,2364,2.82
3 10 BECHU GIRI,,M 59 GEN CPI,939 0,939,1.12
5 11 MOOL CHAND AGGARWAL,,M 47 GEN HJCBL,418 0,418,0.50
11 12 VIDHI CHAND,,M 64 GEN JUP,229 0,229,0.27
9 13 CHUNNI LAL,,M 53 GEN SMBHP,154 0,154,0.18
8 14 KISHAN PRATAP,,M 47 GEN NLHP,128 0,128,0.15
,TOTAL:,83835 2,83837,64.84
Turn Out,,,,,
Constituency,87. Badkhal,,TOTAL ELECTORS :,134480,
3 1 MAHENDER PARTAP SINGH,,M 62 GEN INC,33147 3,33150,44.25
5 2 SEEMA TRIKHA,,F 43 GEN BJP,20470 1,20471,27.33
1 3 KARTAR SINGH,,M 59 GEN BSP,15640 1,15641,20.88
6 4 HEMRAJ,,M 55 GEN INLD,1677 0,1677,2.24
2 5 PARAMJEET GULATI,,M 53 GEN HJCBL,1306 0,1306,1.74
8 6 PARTAP SINGH,,M 62 GEN NLHP,595 0,595,0.79
11 7 ISLAMUDDIN,,M 46 GEN IND,482 0,482,0.64
4 8 ROHTASH,,M 35 GEN NCP,442 0,442,0.59
13 9 VINAY,,M 37 GEN IND,430 0,430,0.57
9 10 MAMTA,,F 26 GEN BSP(K),232 0,232,0.31
12 11 DHARAM SINGH,,M 44 GEN IND,196 0,196,0.26
10 12 SURESH,,M 49 GEN SMBHP,144 0,144,0.19
7 13 PAPPU,,M 34 GEN AP,141 0,141,0.19
,TOTAL:,74902 5,74907,55.70
Turn Out,,,,,
Constituency,88. Ballabhgarh,,TOTAL ELECTORS :,129275,
4 1 SHARDA RATHORE,,F 41 GEN INC,35532 3,35535,46.13
5 2 SURENDER TEWATIA,,M 38 GEN BJP,11688 3,11691,15.18
,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,
,,,,% VOTES
CAND SL.,,,,,
CANDIDATE NAME,,SEX AGE CATEGORY PARTY,GENERAL POSTAL,TOTAL,POLLED
as per form 7,,,,,
3 3 CHANDER BHATIA,,M 46 GEN HJCBL,11194 0,11194,14.53
2 4 OMPAL TONGER,,M 31 GEN BSP,7147 0,7147,9.28
1 5 ANITA GOSWAMI,,F 37 GEN INLD,5600 1,5601,7.27
10 6 BAL KISHAN,,M 45 GEN IND,3773 1,3774,4.90
14 7 HEMLATA,,F 43 GEN IND,673 0,673,0.87
12 8 RANVIR SINGH,,M 37 SC IND,251 0,251,0.33
7 9 RAJBIR SINGH,,M 56 GEN SMBHP,241 0,241,0.31
6 10 KRISHNA ARYA,,F 30 GEN SP,231 0,231,0.30
13 11 SANT RAM,,M 40 GEN IND,220 0,220,0.29
11 12 BRIJ KISHOR,,M 36 GEN IND,217 0,217,0.28
9 13 ARJUN,,M 36 GEN IND,179 0,179,0.23
8 14 SHERA,,M 48 GEN NLHP,70 0,70,0.09
,TOTAL:,77016 8,77024,59.58
Turn Out,,,,,
Constituency 89. Faridabad,,,TOTAL ELECTORS :,132953,
1 1 ANAND KAUSHIK,,M 56 GEN INC,33744 0,33744,45.16
2 2 PARVESH MEHTA,,M 55 GEN BJP,22903 0,22903,30.65
6 3 BASANT VIRMANI,,M 56 GEN IND,8160 0,8160,10.92
3 4 SHYAM BHADANA,,F 52 GEN BSP,4584 0,4584,6.14
4 5 SUMESH CHANDILA,,M 49 GEN INLD,4190 0,4190,5.61
11 6 SANJEEV CHANDELA,,M 29 GEN IND,476 0,476,0.64
7 7 BHUDUTT PARASHAR,,M 44 GEN IND,168 0,168,0.22
5 8 PREM CHAND,,M 41 SC IND,133 0,133,0.18
10 9 RAJESH,,M 35 GEN IND,125 0,125,0.17
9 10 RAJENDER THAKUR,,M 36 GEN IND,121 0,121,0.16
8 11 RAJWANTI,,F 43 SC IND,109 0,109,0.15
,TOTAL:,74713 0,74713,56.20
Turn Out,,,,,
Constituency 90. Tigaon,,,TOTAL ELECTORS :,135437,
1 1 KRISHAN PAL,,M 52 GEN BJP,39744 2,39746,45.62
4 2 LALIT NAGAR,,M 44 GEN INC,38928 0,38928,44.68
