Constituency : 1 . KALKA,,,,,
1 .  PURUSH BHAN,,M,INC,29025,32.30%
2 .  LACHHMAN SINGH,,M,HVP,24034,26.74%
3 .  NARDEV,,M,BJP,22040,24.52%
4 .  KANTI PARKASH BHALLA,,M,JP,5169,5.75%
5 .  PREM SINGH,,M,BSP,4779,5.32%
6 .  AMAR SINGH,,M,IND,1516,1.69%
7 .  KRISHAN CHAND,,M,IND,731,0.81%
8 .  JAGDISH CHAND,,M,IND,583,0.65%
9 .  PUSHPA,,F,IND,259,0.29%
10 .  OM PRAKASH,,M,IND,258,0.29%
11 .  LAJJA RAM,,M,IND,246,0.27%
12 .  KRISHAN DEV,,M,IND,218,0.24%
13 .  SURINDER KUMAR,,M,IND,208,0.23%
14 .  MAHABIR PRASAD,,M,IND,183,0.20%
15 .  SURESH KUMAR,,M,IND,162,0.18%
16 .  ROSHAN LAL,,M,IND,116,0.13%
17 .  TEJINDER MOHAN,,M,IND,84,0.09%
18 .  AMAR NATH,,M,IND,76,0.08%
19 .  VINOD KUMAR,,M,IND,72,0.08%
20 .  RAM KUMAR,,M,IND,58,0.06%
21 .  JAGBIR,,M,IND,56,0.06%
,,,,
ELECTORS : 141447 VOTERS :,,92940 POLL PERCENTAGE :,65.71%,VALID VOTES :,89873
,,,,
Constituency : 2 . NARAINGARH,,,,,
1 .  SURJEET KUMAR,,M,BSP,15407,22.44%
2 .  ASHOK KUMAR,,M,INC,10869,15.83%
3 .  BHARAT BHUSHAN,,M,BJP,9982,14.54%
4 .  JAGPAL SINGH CHAUDHRY,,M,JP,7917,11.53%
5 .  VINOD KUMAR,,M,IND,7581,11.04%
6 .  LAL SINGH,,M,IND,6403,9.32%
7 .  HATHI SINGH,,M,IND,4447,6.48%
8 .  ROSHAN LAL ARYA,,M,HVP,1756,2.56%
9 .  PREETPAL SINGH,,M,IND,1301,1.89%
10 .  JAIPAL,,M,IND,697,1.02%
11 .  BHACMAL,,M,IND,554,0.81%
12 .  RAM NATH,,M,IND,369,0.54%
13 .  RANA MAHARAJ SINGH CHAUHAN,,M,IND,360,0.52%
14 .  DHARAM CHAND,,M,IND,271,0.39%
15 .  SUKHDEV SINGH,,M,DDP,230,0.33%
16 .  JAGBIR SINGH RANA,,M,IND,222,0.32%
17 .  LAJJA RAM,,M,IND,173,0.25%
18 .  MAYARAM,,M,IND,129,0.19%
,,,,
ELECTORS : 95404 VOTERS :,,71236 POLL PERCENTAGE :,74.67%,VALID VOTES :,68668
6 . PRAKASH RANI,,,F,BSP,1409,1.98%
7 . MANGE RAM,,,M,IND,186,0.26%
8 . RAGHUBIR,,,M,IND,171,0.24%
9 . KASHMIRI SINGH,,,M,IND,169,0.24%
10 . KRISHAN KUMAR,,,M,IND,167,0.24%
11 . SATYAVAN,,,M,IND,166,0.23%
12 . BALRAJ,,,M,IND,157,0.22%
13 . BALWAN SINGH,,,M,IND,142,0.20%
14 . SUBE SINGH,,,M,IND,140,0.20%
15 . RAJBIR,,,M,IND,121,0.17%
16 . SAJJAN,,,M,IND,114,0.16%
17 . CHUNNI LAL,,,M,IND,96,0.14%
18 . CHANDER SHEKHAR,,,M,IND,90,0.13%
19 . KARN SINGH,,,M,IND,76,0.11%
20 . HARBHAGMAN MAHTA,,,M,IND,60,0.08%
21 . RAM KUMAR,,,M,IND,57,0.08%
22 . LAXMI NARAIN,,,M,IND,54,0.08%
23 . BIR SINGH,,,M,IND,51,0.07%
24 . HOSHITRA SINGH,,,M,IND,46,0.06%
25 . SUMITRA DEVI,,,F,IND,37,0.05%
26 . RAJBIR SINGH,,,M,IND,35,0.05%
27 . BASU,,,M,IND,33,0.05%
28 . TILOCHANNA DEVI,,,F,IND,31,0.04%
29 . GULSHAN,,,M,IND,29,0.04%
ELECTORS : 117959 VOTERS :,,73389,POLL PERCENTAGE :,62.22%,VALID VOTES :,71016
Constituency : 71 . NARNAUND,,,,,,
1 . VERENDER SINGH,,,M,JD,20011,32.09%
2 . JASWANT SINGH,,,M,INC,19973,32.03%
3 . KARM SINGH,,,M,JP,18258,29.28%
4 . AZAD SINGH,,,M,BJP,1505,2.41%
5 . CANDER BHAN,,,M,IND,797,1.28%
6 . RANBIR SINGH,,,M,IND,712,1.14%
7 . VAZIR SINGH,,,M,IND,423,0.68%
8 . OM PARKASH,,,M,IND,281,0.45%
9 . PARDIP KUMAR,,,M,IND,68,0.11%
10 . SUKH BIR SINGH,,,M,IND,59,0.09%
11 . ANAND SINGH,,,M,IND,58,0.09%
13 . RAM BHAKT,,,M,IND,42,0.07%
12 . BARU SINGH,,,M,IND,42,0.07%
14 . SURESH,,,M,IND,38,0.06%
15 . UDAY BR SINGH,,,M,IND,30,0.05%
16 . JOGENDER,,,M,IND,30,0.05%
17 . JEEWAN SINGH,,,M,IND,29,0.05%
ELECTORS :,95155,VOTERS :,64772,POLL PERCENTAGE :,68.07%,VALID VOTES :,62356
No. CANDIDATE,,SEX,PARTY,VOTES,%
37 . JAGDISH,,M,IND,27,0.03%
38 . ANIL KUMAR,,M,IND,26,0.03%
39 . ASHOK KUMAR S/O JAIDEV,,M,IND,26,0.03%
40 . RADHA KISHAN SAINI,,M,IND,26,0.03%
41 . RAM KISHAN S/O LAL CHAND,,M,IND,26,0.03%
43 . SANJAY SINGH,,M,IND,25,0.03%
42 . MAHINDER KUMAR S/O NEM CHAND,,M,IND,25,0.03%
44 . ROSHAN LAL,,M,IND,24,0.03%
45 . ABHEY KUMAR GUPTA,,M,IND,23,0.03%
46 . RAMANAND SHARMA,,M,IND,23,0.03%
47 . DEVENDER,,M,IND,22,0.03%
48 . RAJ MOHAN,,M,IND,21,0.03%
49 . RAJENDER SHARMA,,M,IND,21,0.03%
50 . RAMESH KUMAR GARG,,M,IND,20,0.03%
53 . RAM NIWAS SHARMA,,M,IND,19,0.02%
51 . TILAK RAJ,,M,IND,19,0.02%
52 . RAM DITTA SATHI,,M,IND,19,0.02%
54 . LAXMI NARAIN,,M,IND,17,0.02%
55 . VED PAL GULIA,,M,IND,16,0.02%
56 . RAVI DUTT KAUSHIK,,M,IND,15,0.02%
57 . SHAM LAL,,M,IND,15,0.02%
58 . SURENDER KUMAR,,M,IND,15,0.02%
59 . ASHOK VIR,,M,IND,12,0.02%
60 . GIRISH RAGHAV,,M,IND,7,0.01%
62 . MAHENDER KUMAR S/O FATEH CHAND,,M,IND,6,0.01%
61 . ASHOK KUMAR AGARWAL,,M,IND,6,0.01%
63 . VIRENDER KUMAR,,M,IND,3,0.00%
ELECTORS :,127337 VOTERS :,82225,POLL PERCENTAGE :,64.57%,VALID VOTES :,79631
Constituency :,75 . GHIRAI,,,,,
1 . CHHATARPAL SINGH,,M,INC,29927,43.97%
2 . DEVI LAL,,M,JP,27773,40.80%
3 . ISHWAR SINGH,,M,JD,5544,8.14%
4 . UDEBIR,,M,IND,2329,3.42%
5 . PARDEEP KUMAR,,M,BJP,1363,2.00%
6 . KARTARA,,M,IND,224,0.33%
7 . ROSHAN LAL,,M,IND,207,0.30%
8 . PIYARE LAL S/O SANT LAL,,M,IND,99,0.15%
9 . JOGI RAM,,M,DDP,79,0.12%
10 . RAM DHAN,,M,IND,68,0.10%
11 . RAM PHAL,,M,IND,63,0.09%
12 . RAMESH KUMAR,,M,IND,55,0.08%
13 . DALIP SINGH,,M,IND,52,0.08%
14 . BHARTA SINGH,,M,IND,48,0.07%
15 . NIHAL SINGH,,M,IND,47,0.07%
16 . BALWAN,,M,IND,42,0.06%
17 . RAM KISHAN,,M,IND,40,0.06%
18 . SURESH KUMAR,,M,IND,33,0.05%
19 . VED PAL,,M,IND,27,0.04%
21 . MANPHOOL SINGH,,M,IND,24,0.04%
20 . PIYARE LAL S/O PHOOLIA,,M,IND,24,0.04%
ELECTORS :,104062,VOTERS :,69998,POLL PERCENTAGE :,67.27%,VALID VOTES :,68068
ELECTORS :,118655,VOTERS :,80029,POLL PERCENTAGE :,67.45%,VALID VOTES :,77080
ELECTORS :,102960,VOTERS :,74890,POLL PERCENTAGE :,72.74%,VALID VOTES :,73243
No. CANDIDATE,,SEX,PARTY,VOTES,%
20 . KAIYAN RAM,,M,IND,100,0.12%
21 . MANJEET,,M,IND,89,0.11%
22 . MAHABIR,,M,IND,83,0.10%
23 . NARESH KUMAR S/O NAND LAL,,M,IND,78,0.09%
24 . DEVI LAL GOHAR,,M,IND,77,0.09%
25 . MEHNGA RAM,,M,IND,72,0.09%
26 . MANGE RAM,,M,IND,71,0.09%
27 . KARTAR RAM,,M,IND,70,0.09%
28 . LACHMAN DASS S/O DATTA RAM,,M,IND,64,0.08%
29 . RADHEY SHYAM SAINI,,M,IND,57,0.07%
30 . MANI RAM,,M,IND,56,0.07%
31 . RAVI KUMAR,,M,IND,55,0.07%
32 . AJIT SINGH,,M,IND,54,0.07%
33 . RAMESH KUMAR S/O JAMNA DASS,,M,IND,54,0.07%
34 . SUBHASH CHANDER,,M,IND,54,0.07%
35 . ONKAR SINGH,,M,IND,52,0.06%
36 . AMAR NATH,,M,IND,50,0.06%
37 . HARISH CHANDER,,M,IND,49,0.06%
38 . LACHMAN,,M,IND,48,0.06%
39 . DARSHAN LAL CHABRA,,M,IND,47,0.06%
40 . SUBHAS CHANDER ARORA,,M,IND,46,0.06%
41 . RAM SARUP,,M,IND,43,0.05%
42 . RAMESH SAHUWALA,,M,IND,39,0.05%
43 . ASHOK KUMAR S/O BHAGWAN DASS,,M,IND,38,0.05%
44 . JAI BHAGWAN,,M,IND,37,0.04%
45 . GANPAT,,M,IND,36,0.04%
46 . PREM KUMAR,,M,IND,35,0.04%
47 . VED PARKASH,,M,IND,35,0.04%
48 . DARA RAM,,M,IND,34,0.04%
50 . NANAK CHAND,,M,IND,33,0.04%
49 . DARSHAN LAL,,M,IND,33,0.04%
51 . APINDER SINGH,,M,IND,32,0.04%
52 . ASHOK KUMAR ARORA,,M,IND,28,0.03%
53 . ASHOK KUMAR S/O SHER DASS,,M,IND,27,0.03%
54 . SURAJ BHAN,,M,IND,27,0.03%
55 . AMOLK RAJ,,M,IND,26,0.03%
56 . OM PARKASH,,M,IND,24,0.03%
57 . IQBAL,,M,IND,22,0.03%
58 . ASHA RANI,,F,IND,21,0.03%
59 . ASHOK KUMAR,,M,IND,20,0.02%
60 . SURINDER,,M,IND,19,0.02%
61 . SURESH KUMAR,,M,IND,18,0.02%
62 . JITENDER PAKOREWALA,,M,IND,15,0.02%
63 . AMAR SINGH,,M,IND,14,0.02%
64 . JIWAN RAM,,M,IND,13,0.02%
65 . RAJINDER KUMAR,,M,IND,13,0.02%
66 . MANOHAR LAL,,M,IND,8,0.01%
ELECTORS :,125125 VOTERS :,84521,POLL PERCENTAGE :,67.55%,VALID VOTES :,82278
No. CANDIDATE,,,SEX,PARTY,VOTES,%
2 . HARI SINGH,,,M,JP,25602,33.34%
3 . HARDAM SINGH,,,M,HVP,7166,9.33%
4 . BALWANT SINGH,,,M,IND,4187,5.45%
5 . KALU RAM,,,M,BSP,1282,1.67%
6 . LUXMI NARAIN,,,M,BJP,1083,1.41%
7 . RANJIT SINGH,,,M,IND,724,0.94%
8 . DEEP CHAND,,,M,IND,694,0.90%
9 . GURJIT SINGH,,,M,IND,237,0.31%
10 . HARBANS KAUR,,,F,DDP,189,0.25%
11 . MANGAL SINGH,,,M,IND,186,0.24%
12 . JEEWAN RAM,,,M,IND,142,0.18%
13 . KARTAR SINGH,,,M,IND,102,0.13%
14 . MAHIPAT,,,M,IND,93,0.12%
15 . SARUP CHAND,,,M,IND,82,0.11%
16 . GULAB SINGH,,,M,IND,72,0.09%
17 . SURJIT SINGH,,,M,IND,59,0.08%
ELECTORS :,105137 VOTERS :,78650,,POLL PERCENTAGE :,74.81%,VALID VOTES :,76802
Constituency :,84 . DABWALI (SC),,,,,,
1 . SANTOSH CHAUHAN SARWAN,,,F,INC,32296,44.15%
2 . GAIN CHAND,,,M,JP,19637,26.85%
3 . SURAJ BHAN,,,M,BSP,5957,8.14%
4 . BHAI DEVI LAL,,,M,BJP,5481,7.49%
5 . SURJIT SINGH,,,M,IND,3369,4.61%
6 . KALU RAM,,,M,IND,3126,4.27%
7 . RAJINDER KUMAR CHAUHAN,,,M,HVP,1163,1.59%
8 . BIMLA DEVI,,,F,IND,526,0.72%
9 . GURCHARAN SINGH,,,M,IND,340,0.46%
11 . SAHAB RAM,,,M,IND,161,0.22%
10 . JOGI RAM,,,M,IND,161,0.22%
12 . KISHORI LAL,,,M,IND,154,0.21%
13 . MADAN LAL,,,M,IND,154,0.21%
14 . RADHE SHAM,,,M,IND,140,0.19%
15 . HARDAM SINGH,,,M,IND,128,0.17%
16 . INDRAJ,,,M,IND,99,0.14%
17 . SHANKAR,,,M,IND,76,0.10%
18 . KABUL,,,M,IND,61,0.08%
19 . SURENDER KUMAR,,,M,IND,46,0.06%
20 . MUKHA RAM,,,M,IND,42,0.06%
21 . MANPHOOL,,,M,IND,26,0.04%
ELECTORS :,114343 VOTERS :,74867,,POLL PERCENTAGE :,65.48%,VALID VOTES :,73143
ELECTORS : 114343 VOTERS :,,,74867,POLL PERCENTAGE :,,65.48%,VALID VOTES :,73143
Constituency : 85 . BAWAL (SC),,,,,,,,
1 . SHAKUNTLA BHAGWARIA,,,,,F,INC,31605,47.38%
2 . HARGI RAM BHAGOTIA,,,,,M,JP,21864,32.78%
3 . JASWANT,,,,,M,HVP,5837,8.75%
4 . RAM NIWAS,,,,,M,BJP,3073,4.61%
5 . RAM SARUP,,,,,M,IND,1866,2.80%
6 . SHER SINGH,,,,,M,IND,413,0.62%
7 . BHOLU RAM,,,,,M,DDP,289,0.43%
8 . JUG LAL AHRODIA,,,,,M,IND,267,0.40%
No. CANDIDATE,,SEX,PARTY,VOTES,%
9 . VIMAL KUMAR PIPAL,,M,IND,254,0.38%
11 . SHIS RAM,,M,IND,200,0.30%
10 . MANOHAR LAL LAMBERDAR,,M,IND,200,0.30%
12 . BANWARI,,M,IND,193,0.29%
13 . VIJAY PAL,,M,IND,182,0.27%
14 . MURARI LAL,,M,IND,153,0.23%
15 . LAL SINGH,,M,IND,144,0.22%
16 . ARJUN SINGH,,M,IND,112,0.17%
17 . RAMA,,F,IND,56,0.08%
ELECTORS :,117211 VOTERS :,68899,POLL PERCENTAGE :,58.78%,VALID VOTES :,66708
Constituency :,86 . REWARI,,,,,
1 . AJAY SINGH,,M,INC,33922,52.78%
2 . RAJINDER SINGH,,M,HVP,8098,12.60%
3 . SHIV RATTAN,,M,BJP,7463,11.61%
4 . INDERPAL,,M,IND,5092,7.92%
5 . MITTAR SAIN,,M,SJJP,4198,6.53%
6 . JAGGAN SINGH,,M,LKD,1758,2.74%
7 . JAI SINGH,,M,IND,931,1.45%
8 . CHIRANJI S/O MAM CHAND,,M,JKMP,655,1.02%
9 . LAL CHAND,,M,DDP,432,0.67%
10 . JOGINDER,,M,IND,367,0.57%
11 . BHOOP SINGH,,M,IND,288,0.45%
12 . BABU LAL,,M,IND,215,0.33%
13 . MAN SINGH,,M,IND,191,0.30%
14 . CHIRANJI S/O SHIV DATTA,,M,ICS(SCS),182,0.28%
15 . SURENDER,,M,IND,152,0.24%
16 . MUKESH,,M,IND,144,0.22%
17 . RAI SINGH,,M,IND,126,0.20%
18 . SHREE RAM,,M,IND,55,0.09%
ELECTORS :,111081 VOTERS :,66628,POLL PERCENTAGE :,59.98%,VALID VOTES :,64269
Constituency :,87 . JATUSANA,,,,,
1 . RAO INDERJEET SINGH,,M,INC,34606,48.68%
2 . JAGDISH YADAV,,M,HVP,19380,27.26%
3 . RAJINDER SINGH,,M,JP,10356,14.57%
4 . ANANG PAL,,M,BJP,3091,4.35%
5 . SARDAR SINGH,,M,IND,2010,2.83%
6 . SOMDUTT,,M,IND,308,0.43%
7 . VIRENDER SINGH,,M,IND,256,0.36%
8 . DAYANAND,,M,IND,235,0.33%
9 . ISHWAR,,M,IND,232,0.33%
10 . RAGHUNATH SINGH,,M,DDP,165,0.23%
11 . RAVINDER,,M,IND,165,0.23%
12 . VED PARKASH YADAV,,M,IND,149,0.21%
13 . MAHABIR,,M,IND,80,0.11%
14 . MAHABIR SINGH,,M,IND,52,0.07%
ELECTORS :,123484 VOTERS :,74903,POLL PERCENTAGE :,60.66%,VALID VOTES :,71085
No. CANDIDATE,,SEX,PARTY,VOTES,%
2 . DALIP SINGH,,M,HVP,16413,24.04%
3 . KULDEEP YADAV,,M,INC,11465,16.79%
4 . RAOHTAS SINGH S/O MOTI SINGH,,M,JP,10401,15.23%
5 . RAGHU YADAV,,M,SJJP,4580,6.71%
6 . OM PARKASH,,M,IND,2682,3.93%
7 . BALBIR SINGH S/O MAMRAJ,,M,LKD,879,1.29%
8 . ROHTASH SINGH S/O UMRAOO SINGH,,M,DDP,486,0.71%
9 . PHOOL SINGH,,M,IND,386,0.57%
10 . DEEP CHAND,,M,IND,297,0.44%
11 . SUKESH KUMAR,,M,IND,288,0.42%
12 . MANBHAR,,M,IND,277,0.41%
13 . JHAMAN SINGH,,M,IND,248,0.36%
14 . BALBIR S/O MOHAR SINGH,,M,IND,236,0.35%
15 . SAME SINGH VIRODHI,,M,IND,232,0.34%
16 . JAI SINGH,,M,IND,217,0.32%
17 . BHURAMAL S/O BHURISARWA,,M,IND,182,0.27%
18 . RAVINDER S/O BAIZNATH,,M,IND,151,0.22%
19 . MOHANLAL,,M,IND,150,0.22%
21 . TUHI RAM,,M,IND,133,0.19%
20 . RAVINDER S/O ISHWAR SAROOP,,M,IND,133,0.19%
22 . RAM CHANDER,,M,FBL,130,0.19%
23 . DHARAM PAUL,,M,IND,109,0.16%
24 . RAJ KUMAR,,M,VHP,95,0.14%
25 . AMAR SINGH,,M,IND,62,0.09%
ELECTORS :,118735 VOTERS :,72012,POLL PERCENTAGE :,60.65%,VALID VOTES :,68271
Constituency :,89 . ATELI,,,,,
1 . BAMSHI SINGH,,M,INC,19343,29.61%
2 . AJIT SINGH,,M,JP,19277,29.51%
3 . NIHAL SINGH,,M,HVP,14240,21.80%
4 . LAXMI NARAIN,,M,BJP,4449,6.81%
5 . AMAR SINGH,,M,IND,3190,4.88%
6 . RAM KISHAN,,M,DDP,706,1.08%
7 . NAGAR MAL,,M,IND,672,1.03%
8 . OM PARKASH,,M,IND,437,0.67%
9 . PANNA LAL,,M,IND,391,0.60%
10 . USHA,,F,VHP,378,0.58%
11 . RAVINDER KUMAR,,M,IND,331,0.51%
12 . ABHYE SINGH,,M,IND,321,0.49%
13 . INDRAJ,,M,IND,310,0.47%
14 . GHAN SHYAM,,M,IND,301,0.46%
15 . MAHABIR SINGH,,M,IND,248,0.38%
16 . JAANAK LAL,,M,IND,168,0.26%
17 . JAGDISH PARSHAD,,M,IND,130,0.20%
18 . RANVEER SINGH,,M,IND,122,0.19%
19 . SHER SINGH,,M,IND,118,0.18%
20 . JASWANT SINGH,,M,IND,110,0.17%
21 . SUBE SINGH,,M,IND,77,0.12%
ELECTORS :,118354 VOTERS :,68376,POLL PERCENTAGE :,57.77%,VALID VOTES :,65319
No. CANDIDATE,,,SEX,PARTY,VOTES,%
1 . PHUSA RAM,,,M,INC,29366,42.83%
2 . UDMI RAM,,,M,JP,11123,16.22%
3 . HOSHIAR SINGH,,,M,HVP,9964,14.53%
4 . KAILASH CHAND,,,M,BJP,9083,13.25%
5 . ASHOK KUMAR,,,M,IND,2331,3.40%
6 . SATYA NARAIN,,,M,IND,2200,3.21%
7 . HARI RAM,,,M,IND,2049,2.99%
8 . ATTAR SINGH,,,M,SJJP,934,1.36%
9 . DINESH KUMAR,,,M,DDP,505,0.74%
10 . JODHA RAM,,,M,IND,250,0.36%
11 . SANT LAL,,,M,IND,207,0.30%
12 . JAGDISH PARSAD,,,M,IND,179,0.26%
13 . VIJAY KUMAR,,,M,IND,156,0.23%
14 . RADHEY SHYAM,,,M,VHP,111,0.16%
15 . RAM SARAN,,,M,IND,99,0.14%
ELECTORS :,114248 VOTERS :,,70805,POLL PERCENTAGE :,61.97%,VALID VOTES :,68557
